id	status	mangled	demangled	file	line	report
DNF-DBM-DIFF-0048	DIFF	_ZN10CDBManager24updateCompatibilityIndexEP31Packet_Stat_Compatibility_Index	CDBManager::updateCompatibilityIndex(Packet_Stat_Compatibility_Index*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	6762	function_reports/dbmw/_ZN10CDBManager24updateCompatibilityIndexEP31Packet_Stat_Compatibility_Index.md
DNF-DBM-DIFF-0049	DIFF	_ZN10CDBManager25OnInsertGuildCargoHistoryEP36Packet_DB_Insert_Guild_Cargo_History	CDBManager::OnInsertGuildCargoHistory(Packet_DB_Insert_Guild_Cargo_History*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	719	function_reports/dbmw/_ZN10CDBManager25OnInsertGuildCargoHistoryEP36Packet_DB_Insert_Guild_Cargo_History.md
DNF-DBM-DIFF-0050	DIFF	_ZN10CDBManager25OnSavePacketOverflowWriteEP37Packet_DBMW_Packet_Overflow_Statistic	CDBManager::OnSavePacketOverflowWrite(Packet_DBMW_Packet_Overflow_Statistic*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	1647	function_reports/dbmw/_ZN10CDBManager25OnSavePacketOverflowWriteEP37Packet_DBMW_Packet_Overflow_Statistic.md
DNF-DBM-NEAR-0010	NEAR	_ZN10CDBManager25OnSavePowerWarPointRewardEP37Packet_DB_Save_Power_War_Point_Reward	CDBManager::OnSavePowerWarPointReward(Packet_DB_Save_Power_War_Point_Reward*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	994	function_reports/dbmw/_ZN10CDBManager25OnSavePowerWarPointRewardEP37Packet_DB_Save_Power_War_Point_Reward.md
DNF-DBM-DIFF-0051	DIFF	_ZN10CDBManager25QueryGuildAllMembersProxyEjP18STGuildMemberProxyRt	CDBManager::QueryGuildAllMembersProxy(unsigned int, STGuildMemberProxy*, unsigned short&)	source/DNFServer/GameServer/DBMW/DBManager.cpp	2777	function_reports/dbmw/_ZN10CDBManager25QueryGuildAllMembersProxyEjP18STGuildMemberProxyRt.md
DNF-DBM-NEAR-0011	NEAR	_ZN10CDBManager25QueryOnTimeEventIdxUpdateEP34Packet_Req_Ontime_Event_Idx_Update	CDBManager::QueryOnTimeEventIdxUpdate(Packet_Req_Ontime_Event_Idx_Update*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	6551	function_reports/dbmw/_ZN10CDBManager25QueryOnTimeEventIdxUpdateEP34Packet_Req_Ontime_Event_Idx_Update.md
DNF-DBM-DIFF-0052	DIFF	_ZN10CDBManager25QueryPartyStatisticCreateEP35Packet_DBMW_Dungeon_Statistic_Party	CDBManager::QueryPartyStatisticCreate(Packet_DBMW_Dungeon_Statistic_Party*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	3239	function_reports/dbmw/_ZN10CDBManager25QueryPartyStatisticCreateEP35Packet_DBMW_Dungeon_Statistic_Party.md
DNF-DBM-DIFF-0053	DIFF	_ZN10CDBManager26OnSavePowerWarStatueRankerEP38Packet_DB_Save_Power_War_Statue_Ranker	CDBManager::OnSavePowerWarStatueRanker(Packet_DB_Save_Power_War_Statue_Ranker*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	955	function_reports/dbmw/_ZN10CDBManager26OnSavePowerWarStatueRankerEP38Packet_DB_Save_Power_War_Statue_Ranker.md
DNF-DBM-DIFF-0054	DIFF	_ZN10CDBManager26onItemLimitEditionLoadDataEPK39Packet_Item_Limit_Edition_Load_Data_ReqP39Packet_Item_Limit_Edition_Load_Data_Rpy	CDBManager::onItemLimitEditionLoadData(Packet_Item_Limit_Edition_Load_Data_Req const*, Packet_Item_Limit_Edition_Load_Data_Rpy*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	4527	function_reports/dbmw/_ZN10CDBManager26onItemLimitEditionLoadDataEPK39Packet_Item_Limit_Edition_Load_Data_ReqP39Packet_Item_Limit_Edition_Load_Data_Rpy.md
DNF-DBM-DIFF-0055	DIFF	_ZN10CDBManager28OnSaveAssertManagerInfoWriteEP43Packet_DBMW_Assert_Manager_Info_Write_Query	CDBManager::OnSaveAssertManagerInfoWrite(Packet_DBMW_Assert_Manager_Info_Write_Query*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	5644	function_reports/dbmw/_ZN10CDBManager28OnSaveAssertManagerInfoWriteEP43Packet_DBMW_Assert_Manager_Info_Write_Query.md
DNF-DBM-DIFF-0056	DIFF	_ZN10CDBManager28QueryPartyJobStatisticCreateEP39Packet_DBMW_Dungeon_Statistic_Party_Job	CDBManager::QueryPartyJobStatisticCreate(Packet_DBMW_Dungeon_Statistic_Party_Job*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	3309	function_reports/dbmw/_ZN10CDBManager28QueryPartyJobStatisticCreateEP39Packet_DBMW_Dungeon_Statistic_Party_Job.md
DNF-DBM-DIFF-0057	DIFF	_ZN10CDBManager28QueryTowerOfDespairStatisticEP35Packet_TowerOfDespair_Statistic_STD	CDBManager::QueryTowerOfDespairStatistic(Packet_TowerOfDespair_Statistic_STD*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	1718	function_reports/dbmw/_ZN10CDBManager28QueryTowerOfDespairStatisticEP35Packet_TowerOfDespair_Statistic_STD.md
DNF-DBM-DIFF-0058	DIFF	_ZN10CDBManager28onItemLimitEditionUpdateDataEPK32Packet_Item_Limit_Edition_Update	CDBManager::onItemLimitEditionUpdateData(Packet_Item_Limit_Edition_Update const*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	4587	function_reports/dbmw/_ZN10CDBManager28onItemLimitEditionUpdateDataEPK32Packet_Item_Limit_Edition_Update.md
DNF-DBM-DIFF-0059	DIFF	_ZN10CDBManager29QueryErrorLineStatisticCreateEP37Packet_DBMW_Save_Error_Line_Statistic	CDBManager::QueryErrorLineStatisticCreate(Packet_DBMW_Save_Error_Line_Statistic*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	1687	function_reports/dbmw/_ZN10CDBManager29QueryErrorLineStatisticCreateEP37Packet_DBMW_Save_Error_Line_Statistic.md
DNF-DBM-DIFF-0060	DIFF	_ZN10CDBManager29UpdateDisjointAvatarStatisticEP35Packet_Avater_Disjoint_Statistic_DB	CDBManager::UpdateDisjointAvatarStatistic(Packet_Avater_Disjoint_Statistic_DB*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	6185	function_reports/dbmw/_ZN10CDBManager29UpdateDisjointAvatarStatisticEP35Packet_Avater_Disjoint_Statistic_DB.md
DNF-DBM-DIFF-0061	DIFF	_ZN10CDBManager31QueryPartyCharacStatisticCreateEP42Packet_DBMW_Dungeon_Statistic_Party_Charac	CDBManager::QueryPartyCharacStatisticCreate(Packet_DBMW_Dungeon_Statistic_Party_Charac*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	3373	function_reports/dbmw/_ZN10CDBManager31QueryPartyCharacStatisticCreateEP42Packet_DBMW_Dungeon_Statistic_Party_Charac.md
DNF-DBM-DIFF-0062	DIFF	_ZN10CDBManager33QueryHellPartyStatisticItemCreateEP36Packet_DBMW_HellParty_Statistic_Item	CDBManager::QueryHellPartyStatisticItemCreate(Packet_DBMW_HellParty_Statistic_Item*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	1611	function_reports/dbmw/_ZN10CDBManager33QueryHellPartyStatisticItemCreateEP36Packet_DBMW_HellParty_Statistic_Item.md
DNF-DBM-DIFF-0063	DIFF	_ZN10CDBManager33updateNexonPinPcRoomPlayTimeEventEhjRjPcj	CDBManager::updateNexonPinPcRoomPlayTimeEvent(unsigned char, unsigned int, unsigned int&, char*, unsigned int)	source/DNFServer/GameServer/DBMW/DBManager.cpp	5576	function_reports/dbmw/_ZN10CDBManager33updateNexonPinPcRoomPlayTimeEventEhjRjPcj.md
DNF-DBM-DIFF-0064	DIFF	_ZN10CDBManager35QueryDeathTowerValueStatisticCreateEP38Packet_DBMW_DeathTower_Statistic_Value	CDBManager::QueryDeathTowerValueStatisticCreate(Packet_DBMW_DeathTower_Statistic_Value*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	6091	function_reports/dbmw/_ZN10CDBManager35QueryDeathTowerValueStatisticCreateEP38Packet_DBMW_DeathTower_Statistic_Value.md
DNF-DBM-DIFF-0065	DIFF	_ZN10CDBManager41QueryDeathTowerPlayDataJobStatisticCreateEP45Packet_DBMW_DeathTower_Statistic_Playdata_Job	CDBManager::QueryDeathTowerPlayDataJobStatisticCreate(Packet_DBMW_DeathTower_Statistic_Playdata_Job*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	6003	function_reports/dbmw/_ZN10CDBManager41QueryDeathTowerPlayDataJobStatisticCreateEP45Packet_DBMW_DeathTower_Statistic_Playdata_Job.md
DNF-DBM-DIFF-0066	DIFF	_ZN10CDBManager43QueryDeathTowerPlayDataPartyStatisticCreateEP47Packet_DBMW_DeathTower_Statistic_Playdata_Party	CDBManager::QueryDeathTowerPlayDataPartyStatisticCreate(Packet_DBMW_DeathTower_Statistic_Playdata_Party*)	source/DNFServer/GameServer/DBMW/DBManager.cpp	6258	function_reports/dbmw/_ZN10CDBManager43QueryDeathTowerPlayDataPartyStatisticCreateEP47Packet_DBMW_DeathTower_Statistic_Playdata_Party.md
DNF-DBM-DIFF-0067	DIFF	_ZN10CDBManager8AddBuddyEjPcR13STBuddyDBInfoRi	CDBManager::AddBuddy(unsigned int, char*, STBuddyDBInfo&, int&)	source/DNFServer/GameServer/DBMW/DBManager.cpp	5855	function_reports/dbmw/_ZN10CDBManager8AddBuddyEjPcR13STBuddyDBInfoRi.md
DNF-DBM-DIFF-0068	DIFF	_ZN12CApplication15TranslateSignalEv	CApplication::TranslateSignal()	source/DNFServer/GameServer/DBMW/DNFApplication.cpp	411	function_reports/dbmw/_ZN12CApplication15TranslateSignalEv.md
DNF-DBM-DIFF-0069	DIFF	_ZN12CApplication4LoadEiPPc	CApplication::Load(int, char**)	source/DNFServer/GameServer/DBMW/DNFApplication.cpp	111	function_reports/dbmw/_ZN12CApplication4LoadEiPPc.md
DNF-DBM-NEAR-0012	NEAR	_ZN13CPacketTracer19EndPacketProcessLogEj	CPacketTracer::EndPacketProcessLog(unsigned int)	source/DNFServer/GameServer/DBMW/DNFPacketTracer.cpp	78	function_reports/dbmw/_ZN13CPacketTracer19EndPacketProcessLogEj.md
DNF-DBM-DIFF-0070	DIFF	_ZN13CPacketTracer21StartPacketProcessLogEj	CPacketTracer::StartPacketProcessLog(unsigned int)	source/DNFServer/GameServer/DBMW/DNFPacketTracer.cpp	64	function_reports/dbmw/_ZN13CPacketTracer21StartPacketProcessLogEj.md
DNF-DBM-DIFF-0071	DIFF	_ZN13CPacketTracer21WritePacketProcessLogEv	CPacketTracer::WritePacketProcessLog()	source/DNFServer/GameServer/DBMW/DNFPacketTracer.cpp	89	function_reports/dbmw/_ZN13CPacketTracer21WritePacketProcessLogEv.md
DNF-DBM-DIFF-0072	DIFF	_ZN13CPacketTracerC1Ev	CPacketTracer::CPacketTracer()	source/DNFServer/GameServer/DBMW/DNFPacketTracer.cpp	27	function_reports/dbmw/_ZN13CPacketTracerC1Ev.md
DNF-DBM-DIFF-0073	DIFF	_ZN13CPacketTracerC2Ev	CPacketTracer::CPacketTracer()	source/DNFServer/GameServer/DBMW/DNFPacketTracer.cpp	27	function_reports/dbmw/_ZN13CPacketTracerC2Ev.md
