file	symbol	demangled	in_original	orig_addr	orig_size	new_addr	new_size	orig_insns	new_insns	mnemonic_exact	mnemonic_overlap	call_mismatch	imm_mismatch
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE12_Vector_implC1Ev	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_Vector_impl::_Vector_impl()	1	0x80556a6	48	0x804c3dc	48	14	14	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE12_Vector_implD1Ev	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_Vector_impl::~_Vector_impl()	1	0x8051dde	19	0x804bbe2	19	8	8	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE13_M_deallocateEPS0_j	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_M_deallocate(STPvPBuddyDBInfo*, unsigned int)	1	0x804ba94	39	0x804c420	39	14	14	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EE19_M_get_Tp_allocatorEv	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_M_get_Tp_allocator()	1	0x804b470	8	0x804bc74	8	5	5	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EEC1EjRKS1_	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_Vector_base(unsigned int, std::allocator<STPvPBuddyDBInfo> const&)	1	0x80556d6	113	0x804bc9e	113	42	42	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EEC1Ev	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::_Vector_base()	1	0x805519a	19	0x804bbf6	19	8	8	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSt12_Vector_baseI16STPvPBuddyDBInfoSaIS0_EED1Ev	std::_Vector_base<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> >::~_Vector_base()	1	0x8051df2	106	0x804bc0a	106	40	40	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSt12__miter_baseIN9__gnu_cxx17__normal_iteratorIP16STPvPBuddyDBInfoSt6vectorIS2_SaIS2_EEEELb0EE3__bES7_	std::__miter_base<__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >, false>::__b(__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >)	1	0x804bd0b	15	0x804c649	15	7	7	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSt12__miter_baseIP16STPvPBuddyDBInfoLb0EE3__bES1_	std::__miter_base<STPvPBuddyDBInfo*, false>::__b(STPvPBuddyDBInfo*)	1	0x804bdb4	8	0x804c7eb	8	5	5	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSt12__niter_baseIN9__gnu_cxx17__normal_iteratorIP16STPvPBuddyDBInfoSt6vectorIS2_SaIS2_EEEELb1EE3__bES7_	std::__niter_base<__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >, true>::__b(__gnu_cxx::__normal_iterator<STPvPBuddyDBInfo*, std::vector<STPvPBuddyDBInfo, std::allocator<STPvPBuddyDBInfo> > >)	1	0x804be9a	21	0x804c88f	21	9	9	yes	1.0	no	no
Community/src/BuddyManager.cpp.o	_ZNSt12__niter_baseIP16STPvPBuddyDBInfoLb0EE3__bES1_	std::__niter_base<STPvPBuddyDBInfo*, false>::__b(STPvPBuddyDBInfo*)	1	0x804bed4	8	0x804c9ab	8	5	5	yes	1.0	no	no
