service	function	status
guild	_ZN18CFrameCountHandler17GetFrameCountInfoEv	DIFF
guild	_ZN18CFrameCountHandler18InitFrameCountInfoEP12CApplicationjt	NEAR
guild	_ZN18CPowerWarGuildInfo24RewardGuildPowerWarPointER13CGuildManagerbiiii	DIFF
guild	_ZN5CPeer11recv_packetEv	DIFF
guild	_ZN5CPeer11send_packetEPci	NEAR
guild	_ZN5CPeer11send_packetEv	DIFF
guild	_ZN6CGuild12AddGuildFundEj	NEAR
guild	_ZN6CGuild17ChangeGuildMasterEP14CServerHandlerP5CUserj	DIFF
guild	_ZN6CGuild17InsertGuildMemberEjP5CUser	DIFF
guild	_ZN6CGuild17SetSubGuildMasterEjb	DIFF
guild	_ZN6CGuild18DBSaveGuildMembersEhP14CServerHandlerh	DIFF
guild	_ZN6CGuild19SetTodayGuildMemberER18STTodayGuildMember	NEAR
guild	_ZN6CGuild20WriteGuildMemberMemoEP5CUserPKc	DIFF
guild	_ZN6CGuild22NotifyTodayGuildMemberEP5CUser	DIFF
guild	_ZN6CGuild22ReplyGuildMembersToWebEP24STGuildMemberWebConnInfo	DIFF
guild	_ZN6CGuild22SendGuildInfoToMembersEb	DIFF
guild	_ZN6CGuild23LoadGuildOneMemberProxyEP5CUser	DIFF
guild	_ZN6CGuild23LoadGuildOneMemberProxyER18STGuildMemberProxy	DIFF
guild	_ZN6CGuild23SendGuildInfoToManagersEv	DIFF
guild	_ZN6CGuild24LoadGuildAllMembersProxyEP18STGuildMemberProxyhh	DIFF
guild	_ZN6CGuild25ChangeGuildMemberCharNameEjPc	DIFF
guild	_ZN6CGuild25NotifyAllTodayGuildMemberEv	DIFF
guild	_ZN6CGuild26NotifyAllAchieveAttendanceEjj	DIFF
guild	_ZN6CGuild26NotifyMessageToGuildMemberEv	DIFF
guild	_ZN6CGuild26SendGuildAgitInfoToMembersEv	DIFF
guild	_ZN6CGuild26UpdateChangableInfoProcessEv	DIFF
guild	_ZN6CGuild27DismissGuildMemberAndNoticeEi	DIFF
guild	_ZN6CGuild28SendGuildNameChangeToMembersEv	DIFF
guild	_ZN6CGuild29getUnconnectedGuildMemberNameEj	NEAR
guild	_ZN6CGuild33ChangeUnconnectedGuildMemberGradeEji	NEAR
guild	_ZN6CGuild9LoadGuildER17STGuildDBInfoOnlyPc	DIFF
guild	_ZN8WongWork11CGMAccounts4isGMEj	NEAR
guild	_ZN9CGuildWar13DBSaveProcessEP12CApplication	DIFF
guild	_ZN9CGuildWar15GetGuildWarInfoEP22ST_Guild_War_Rank_Info	DIFF
guild	_ZNK11CUdpHandler12SendToServerEPcitPKc	DIFF
guild	_ZNK6CGuild28PopGuildMemberChanglableInfoEjR26STGuildMemberChangableInfo	DIFF
monitor	_ZN10CAppConfig11Parse_TableEPci	NEAR
monitor	_ZN10CIPCounter11setLoadTermEh	DIFF
monitor	_ZN10CIPCounter13setMinIPCountEh	DIFF
monitor	_ZN10CIPCounter9setOptionEhh	NEAR
monitor	_ZN11CCashObject15GetBuddysObjectEPP6CBuddy	NEAR
monitor	_ZN11CUdpHandler16InitServerSocketEi	DIFF
monitor	_ZN12CApplication15TranslateSignalEv	DIFF
monitor	_ZN12CApplication4LoadEiPPc	DIFF
monitor	_ZN12CBuddyHandle11addFromCashEP6CBuddy	DIFF
monitor	_ZN12CUserManager11AddSchoolNoEjh	NEAR
monitor	_ZN12CUserManager14GetSchoolCountEjPjRh	DIFF
monitor	_ZN12CUserManager17InsertUser_CharNoEjP5CUser	NEAR
monitor	_ZN12CUserManager19InsertUser_CharNameEPcP5CUser	NEAR
monitor	_ZN12CUserManager23SendConnectedBuddysListEP5CUser	DIFF
monitor	_ZN12momiji_event13EndEffectTask10_DoExecuteEv	DIFF
monitor	_ZN13CMemberExpTbl11Parse_TableEPci	DIFF
monitor	_ZN13CMemberExpTbl17GetMemberExpLevelEj	DIFF
monitor	_ZN13CPacketTracer8WriteLogEv	DIFF
monitor	_ZN13CTcpNetSystem14OpenTcpServiceERiPKct	DIFF
monitor	_ZN13CTcpNetSystem19CleanTcpSendPacketQEv	DIFF
monitor	_ZN13CTcpNetSystem4InitEt	DIFF
monitor	_ZN13np_server_xml10CServerXml9StrPunishEiPKcNS_12_eStringTypeE	DIFF
monitor	_ZN14CMemberManager10LoadMemberEjR14STMemberDBInfojjP14CServerHandler	DIFF
monitor	_ZN14CMemberManager12DeleteMemberEjb	DIFF
monitor	_ZN14CMemberManager12InsertMemberEjP7CMember	DIFF
monitor	_ZN14CMemberManager13MemerMemLoginEjP5CUser	DIFF
monitor	_ZN14CMemberManager14RegisterMemberEP7CMembersP5CUserb	DIFF
monitor	_ZN14CMemberManager19SaveMemberOnConnectEP14CServerHandlerP5CUserS3_h	DIFF
monitor	_ZN14CMemberManager21IsPossableMemberEnterEP5CUserP7CMemberS1_S3_i	DIFF
monitor	_ZN14CMemberManager21SaveMemberOnUnConnectEP14CServerHandlerjjjh	DIFF
monitor	_ZN14CMemberManager25MemberRegisterFlagProcessEv	DIFF
monitor	_ZN14CPacketCounterILi1000ELi10240EE12AfterProcessEi	DIFF
monitor	_ZN14CPacketDecoder9MsgDecodeEP12PacketHeader	DIFF
monitor	_ZN14CServerHandler20GetTcpGameServerByChEh	DIFF
monitor	_ZN15init_accusation22CInitAccusationListMgr11setScheduleERKb	DIFF
monitor	_ZN16CDNFProhibitUser20IsTimeOutConnectableEv	DIFF
monitor	_ZN16CDNFProhibitUser22SetUserConnectableTimeEjscb	DIFF
monitor	_ZN16CServerInterface19IsHeartBeatTimeOverEv	DIFF
monitor	_ZN16village_attacked23CVillageAttackedManager10OnScheduleEv	DIFF
monitor	_ZN16village_attacked23CVillageAttackedManager11InsertTimerEii	DIFF
monitor	_ZN16village_attacked23CVillageAttackedManager20OnEndVillageAttackedEv	DIFF
monitor	_ZN16village_attacked23CVillageAttackedManager25SendRequestRevengeDungeonEPc	DIFF
monitor	_ZN16village_attacked23CVillageAttackedManager34OnServerGroupRewardVillageAttackedEv	DIFF
monitor	_ZN17CPacketTranslater11OnHeartBeatEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater11OnUserRepelEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater12OnCeraUpdateEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater12OnEventStartEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater14OnGMRequestMidEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater14OnMemberSecedeEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater15OnPayTaxToUpperEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater16OnLogoutCompleteEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater16OnPvPChannelInfoEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater17OnAddBuddyDBReplyEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater17OnCharacterDeleteEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater17OnDelBuddyDBReplyEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater17OnEventItemUpdateEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater18OnGameServerRegistEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater18OnInnerPacketLoginEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater19OnDeleteToBlackListEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater19OnInnerPacketLogoutEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater19OnRegisterEventItemEP12PacketHeader	DIFF
monitor	_ZN17CPacketTranslater19OnWebQueryUserStateEP12PacketHeader	DIFF
