service	tu	n_funcs	buckets	status	owner	pkg
monitor	source/DNFServer/GameServer/Monitor/DNFMemberManager.cpp	10	CONST_OR_OFFSET,EH_OR_CLEANUP,NEEDS_REVERSE	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFMemberManager.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFNetworkThread.cpp	1	EH_OR_CLEANUP	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFNetworkThread.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFPacketDecoder.cpp	3	CONST_OR_OFFSET,EH_OR_CLEANUP	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFPacketDecoder.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFPacketTranslater.cpp	105	CALL_DIFF,CODEGEN_TAIL,CONST_OR_OFFSET,EH_OR_CLEANUP	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFPacketTranslater.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFProhibitUserC5.cpp	1	CONST_OR_OFFSET	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFProhibitUserC5.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFServerHandler.cpp	4	CALL_DIFF,CONST_OR_OFFSET	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFServerHandler.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFServerInterface.cpp	1	CODEGEN_TAIL	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFServerInterface.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFTcpAcceptThread.cpp	1	CONST_OR_OFFSET	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFTcpAcceptThread.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFTcpNetworkThread.cpp	1	CONST_OR_OFFSET	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFTcpNetworkThread.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFTcpSocket.cpp	1	CONST_OR_OFFSET	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFTcpSocket.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFTickHandler.cpp	1	EH_OR_CLEANUP	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFTickHandler.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFTowerRank.cpp	1	NEEDS_REVERSE	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFTowerRank.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFUdpHandler.cpp	5	CALL_DIFF,CODEGEN_TAIL,CONST_OR_OFFSET,NEEDS_REVERSE	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFUdpHandler.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFUser.cpp	3	CODEGEN_TAIL,CONST_OR_OFFSET	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFUser.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/DNFUserManager.cpp	8	CODEGEN_TAIL,CONST_OR_OFFSET	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_DNFUserManager.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/GMAccounts.cpp	1	CODEGEN_TAIL	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_GMAccounts.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/IPCounter.cpp	3	CODEGEN_TAIL,CONST_OR_OFFSET	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_IPCounter.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/ItemLimitEditionManager.cpp	5	CODEGEN_TAIL,CONST_OR_OFFSET,NEEDS_REVERSE	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_ItemLimitEditionManager.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/LimitNpcBuyItem.cpp	3	CODEGEN_TAIL,CONST_OR_OFFSET,NEEDS_REVERSE	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_LimitNpcBuyItem.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/MemoryCashManager.cpp	5	CALL_DIFF,CODEGEN_TAIL,CONST_OR_OFFSET,NEEDS_REVERSE	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_MemoryCashManager.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/MemoryCashManagerC5.cpp	1	CODEGEN_TAIL	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_MemoryCashManagerC5.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/OnTimeEventManager.cpp	6	CODEGEN_TAIL,CONST_OR_OFFSET,EH_OR_CLEANUP	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_OnTimeEventManager.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/PacketCounter.h	2	CONST_OR_OFFSET	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_PacketCounter.h.tsv
monitor	source/DNFServer/GameServer/Monitor/Peer.cpp	3	CODEGEN_TAIL,CONST_OR_OFFSET,EH_OR_CLEANUP	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_Peer.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/ServerXml.cpp	1	NEEDS_REVERSE	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_ServerXml.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/SystemTimeHandler.cpp	1	CONST_OR_OFFSET	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_SystemTimeHandler.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/TaskImpl.cpp	2	CONST_OR_OFFSET,EH_OR_CLEANUP	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_TaskImpl.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/TcpNetSystem.cpp	7	CODEGEN_TAIL,CONST_OR_OFFSET,EH_OR_CLEANUP	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_TcpNetSystem.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/TowerOfDespairReloadAPC.cpp	2	CODEGEN_TAIL,CONST_OR_OFFSET	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_TowerOfDespairReloadAPC.cpp.tsv
monitor	source/DNFServer/GameServer/Monitor/VillageAttackedManager.cpp	9	CONST_OR_OFFSET,EH_OR_CLEANUP,NEEDS_REVERSE	todo		function_reports/_triage/packages/monitor/source_DNFServer_GameServer_Monitor_VillageAttackedManager.cpp.tsv
statics	source/DNFServer/GameServer/Statics/DNFNetworkThread.cpp	1	EH_OR_CLEANUP	todo		function_reports/_triage/packages/statics/source_DNFServer_GameServer_Statics_DNFNetworkThread.cpp.tsv
statics	source/DNFServer/GameServer/Statics/DNFPacketTranslater.cpp	1	CONST_OR_OFFSET	todo		function_reports/_triage/packages/statics/source_DNFServer_GameServer_Statics_DNFPacketTranslater.cpp.tsv
statics	source/DNFServer/GameServer/Statics/FrameLagCollector.cpp	9	CONST_OR_OFFSET,NEEDS_REVERSE	todo		function_reports/_triage/packages/statics/source_DNFServer_GameServer_Statics_FrameLagCollector.cpp.tsv
statics	source/DNFServer/GameServer/Statics/GMAccounts.cpp	2	CONST_OR_OFFSET	todo		function_reports/_triage/packages/statics/source_DNFServer_GameServer_Statics_GMAccounts.cpp.tsv
statics	source/DNFServer/GameServer/Statics/HWSpecResearcher.cpp	2	CONST_OR_OFFSET	todo		function_reports/_triage/packages/statics/source_DNFServer_GameServer_Statics_HWSpecResearcher.cpp.tsv
statics	source/DNFServer/GameServer/Statics/Statistics.cpp	27	CODEGEN_TAIL,CONST_OR_OFFSET,NEEDS_REVERSE	todo		function_reports/_triage/packages/statics/source_DNFServer_GameServer_Statics_Statistics.cpp.tsv
