status	name	orig_addr	orig_size	new_addr	new_size	md_file
MISSING	my_net_set_write_timeout	0x80ccba0	0x2c			
MISSING	my_net_write	0x80cd200	0xe3			
MISSING	my_no_flags_free	0x8103340	0x27			
MISSING	my_numcells_8bit	0x81075f0	0xb			
MISSING	my_numcells_cp932	0x81348e0	0x52			
MISSING	my_numcells_eucjp	0x813c0e0	0x58			
MISSING	my_numcells_mb	0x8139760	0xb4			
MISSING	my_numcells_sjis	0x813ad50	0x52			
MISSING	my_numchars_8bit	0x81075e0	0xb			
MISSING	my_numchars_mb	0x8139300	0x5b			
MISSING	my_numchars_ucs2	0x810d300	0xd			
MISSING	my_numchars_utf16	0x810e340	0x64			
MISSING	my_numchars_utf32	0x810cb20	0xe			
MISSING	my_once_alloc	0x8103690	0xf3			
MISSING	my_once_free	0x8103640	0x46			
MISSING	my_once_memdup	0x8103790	0x54			
MISSING	my_once_strdup	0x81037f0	0x62			
MISSING	my_open	0x8103ad0	0x62			
MISSING	my_parse_charset_xml	0x8113190	0xae			
MISSING	my_pipe_sig_handler	0x80ca100	0x2e			
MISSING	my_print_default_files	0x80fe6b0	0x1fb			
MISSING	my_printf_error	0x8101e50	0x61			
MISSING	my_printv_error	0x8101de0	0x61			
MISSING	my_propagate_complex	0x8107fa0	0x7			
MISSING	my_propagate_simple	0x8107f90	0xa			
MISSING	my_qsort	0x8132510	0xc4b			
MISSING	my_read	0x8103b40	0x3fb			
MISSING	my_read_charset_file	0x80fd5d0	0x10b			
MISSING	my_readlink	0x81042a0	0xb5			
MISSING	my_real_read	0x80cd430	0x29e			
MISSING	my_realloc	0x8103f40	0xba			
MISSING	my_realpath	0x81040e0	0xb9			
MISSING	my_register_filename	0x8103970	0x157			
MISSING	my_rnd	0x8104080	0x47			
MISSING	my_rnd_init	0x8104000	0x80			
MISSING	my_scan_8bit	0x8107560	0x78			
MISSING	my_scan_mb2	0x810bab0	0x4a			
MISSING	my_scan_utf32	0x810cd30	0x9e			
MISSING	my_search_option_files	0x80ff680	0x3c6			
MISSING	my_setwd	0x81027d0	0x101			
MISSING	my_snprintf	0x811ac30	0x38			
MISSING	my_snprintf_8bit	0x8108a10	0x38			
MISSING	my_snprintf_mb2	0x810de60	0x21d			
MISSING	my_snprintf_utf32	0x810dc20	0x23b			
MISSING	my_stat	0x8102d80	0xc0			
MISSING	my_str_free_default	0x813eb20	0x23			
MISSING	my_str_malloc_default	0x813eb50	0x33			
MISSING	my_strcasecmp_8bit	0x8106400	0x6a			
MISSING	my_strcasecmp_bin	0x8105a40	0x2a			
MISSING	my_strcasecmp_mb	0x8139220	0xdc			
MISSING	my_strcasecmp_mb2_or_mb4	0x810a820	0x7			
MISSING	my_strcasecmp_mb_bin	0x813a6a0	0x2a			
MISSING	my_strcasecmp_utf8mb3	0x8112dd0	0x23b			
MISSING	my_strcasecmp_utf8mb4	0x8112990	0x395			
MISSING	my_strdup	0x81034a0	0x62			
MISSING	my_string_repertoire	0x8113010	0x83			
MISSING	my_strndup	0x8103440	0x5b			
MISSING	my_strnncoll_8bit_bin	0x81059e0	0x51			
MISSING	my_strnncoll_any_uca	0x810a750	0xaa			
MISSING	my_strnncoll_big5	0x8133380	0x183			
MISSING	my_strnncoll_binary	0x8105980	0x51			
MISSING	my_strnncoll_cp932	0x8134dd0	0x187			
MISSING	my_strnncoll_czech	0x81350c0	0x29f			
MISSING	my_strnncoll_gbk	0x81386a0	0x66			
MISSING	my_strnncoll_gbk_internal	0x81384f0	0x1a7			
MISSING	my_strnncoll_latin1_de	0x8105c30	0x118			
MISSING	my_strnncoll_mb_bin	0x8139cd0	0x51			
MISSING	my_strnncoll_simple	0x8106190	0x9b			
MISSING	my_strnncoll_sjis	0x813b350	0x187			
MISSING	my_strnncoll_tis620	0x813b5a0	0x376			
MISSING	my_strnncoll_ucs2	0x810d070	0x131			
MISSING	my_strnncoll_ucs2_bin	0x810d360	0xd1			
MISSING	my_strnncoll_ucs2_uca	0x8109120	0xaa			
MISSING	my_strnncoll_utf16	0x810f1b0	0x2e8			
MISSING	my_strnncoll_utf16_bin	0x810f7a0	0x22a			
MISSING	my_strnncoll_utf32	0x810e770	0x1c4			
MISSING	my_strnncoll_utf32_bin	0x810e3b0	0x144			
MISSING	my_strnncoll_utf8mb3	0x8112660	0x32d			
MISSING	my_strnncoll_utf8mb4	0x8111050	0x1d4			
MISSING	my_strnncoll_win1250ch	0x813df00	0x301			
MISSING	my_strnncollsp_8bit_bin	0x8105400	0xd1			
MISSING	my_strnncollsp_any_uca	0x81090c0	0x53			
MISSING	my_strnncollsp_big5	0x8134490	0x22b			
MISSING	my_strnncollsp_binary	0x8105b10	0x43			
MISSING	my_strnncollsp_cp932	0x81349e0	0x1db			
MISSING	my_strnncollsp_czech	0x8135360	0x508			
MISSING	my_strnncollsp_gbk	0x8138710	0xa2			
MISSING	my_strnncollsp_latin1_de	0x8105d50	0x172			
MISSING	my_strnncollsp_mb_bin	0x8139590	0xd1			
MISSING	my_strnncollsp_simple	0x8106230	0xed			
MISSING	my_strnncollsp_sjis	0x813ae50	0x1db			
MISSING	my_strnncollsp_tis620	0x813bb10	0x42d			
MISSING	my_strnncollsp_uca	0x8108fa0	0x113			
MISSING	my_strnncollsp_ucs2	0x810d1b0	0x129			
MISSING	my_strnncollsp_ucs2_bin	0x810d440	0x109			
MISSING	my_strnncollsp_ucs2_uca	0x81091d0	0x53			
