status	name	orig_addr	orig_size	new_addr	new_size	md_file
DIFF	_ZN10CDBManager24OnGuildJoinByListApproveEjcjjR15STGuildJoinInfoRj	0x80853d4	0x65b	0x8055986	0x667
NEAR	_ZN10CDBManager24OnManagerEventTriggerAckEP32Packet_Manager_Event_Trigger_Ack	0x80841d0	0x143	0x8052708	0x143
DIFF	_ZN10CDBManager24OnSavePowerWarBonusPointEP36Packet_DB_Save_Power_War_Bonus_Point	0x8083ae2	0x251	0x804ec5e	0x252
DIFF	_ZN10CDBManager24QueryCubeStatisticCreateEP26Packet_DBMW_Cube_Statistic	0x807f03c	0x3db	0x805fc60	0x3da
DIFF	_ZN10CDBManager24QueryUpdateChannelOccNumEP27Packet_User_Count_Statistic	0x8086072	0x1be	0x80509dc	0x1bc
DIFF	_ZN10CDBManager24SaveUnchangableGuildInfoEP33Packet_UnChangable_GuildInfo_Save	0x807ad84	0x418	0x806003a	0x408
DIFF	_ZN10CDBManager24UpdateRandomboxStatisticEP29Packet_Randombox_statistic_DB	0x8083460	0x176	0x8051efe	0x175
DIFF	_ZN10CDBManager24insertHolePunchingResultEP38Packet_GameServer2Statisctics2DBServer	0x80878f0	0x12a	0x8051de0	0x11d
DIFF	_ZN10CDBManager24updateCompatibilityIndexEP31Packet_Stat_Compatibility_Index	0x80867fc	0x2a7	0x8063af6	0x29f
DIFF	_ZN10CDBManager25OnInsertGuildCargoHistoryEP36Packet_DB_Insert_Guild_Cargo_History	0x80812aa	0x2fb	0x804e1f0	0x2fd
DIFF	_ZN10CDBManager25OnSavePacketOverflowWriteEP37Packet_DBMW_Packet_Overflow_Statistic	0x8080324	0x24b	0x805118c	0x233
NEAR	_ZN10CDBManager25OnSavePowerWarPointRewardEP37Packet_DB_Save_Power_War_Point_Reward	0x807f7b4	0x101	0x804f26e	0x101
DIFF	_ZN10CDBManager25QueryGuildAllMembersProxyEjP18STGuildMemberProxyRt	0x80719dc	0x3cb	0x805463e	0x37e
NEAR	_ZN10CDBManager25QueryOnTimeEventIdxUpdateEP34Packet_Req_Ontime_Event_Idx_Update	0x8085c94	0x1e0	0x806303c	0x1e0
DIFF	_ZN10CDBManager26OnSavePowerWarStatueRankerEP38Packet_DB_Save_Power_War_Statue_Ranker	0x807f8b6	0x201	0x804f074	0x1fa
DIFF	_ZN10CDBManager28OnSaveAssertManagerInfoWriteEP43Packet_DBMW_Assert_Manager_Info_Write_Query	0x807ff9e	0x386	0x805f93a	0x325
DIFF	_ZN10CDBManager28QueryTowerOfDespairStatisticEP35Packet_TowerOfDespair_Statistic_STD	0x8085e74	0x1fd	0x80515a6	0x1f6
DIFF	_ZN10CDBManager29UpdateDisjointAvatarStatisticEP35Packet_Avater_Disjoint_Statistic_DB	0x8082f12	0x45d	0x8061b06	0x40b
DIFF	_ZN10CDBManager33updateNexonPinPcRoomPlayTimeEventEhjRjPcj	0x80872de	0x391	0x805f5da	0x360
DIFF	_ZN10CDBManager41QueryDeathTowerPlayDataJobStatisticCreateEP45Packet_DBMW_DeathTower_Statistic_Playdata_Job	0x807e35e	0x57a	0x8060f70	0x571
DIFF	_ZN10CDBManager43QueryDeathTowerPlayDataPartyStatisticCreateEP47Packet_DBMW_DeathTower_Statistic_Playdata_Party	0x807e8d8	0x4ea	0x8061f12	0x4e9
DIFF	_ZN10CDBManager8AddBuddyEjPcR13STBuddyDBInfoRi	0x8076778	0x441	0x80605dc	0x44f
DIFF	_ZN12CApplication15TranslateSignalEv	0x806cd2a	0x3da	0x806f208	0x3d8
DIFF	_ZN12CApplication4LoadEiPPc	0x806baea	0x5d0	0x806d42e	0x5d0
NEAR	_ZN13CPacketTracer19EndPacketProcessLogEj	0x80928f2	0xa6	0x80cee10	0xa6
DIFF	_ZN13CPacketTracer21StartPacketProcessLogEj	0x809282e	0xc3	0x80ced3e	0xd1
DIFF	_ZN13CPacketTracer21WritePacketProcessLogEv	0x8092998	0x164	0x80ceeb6	0x162
DIFF	_ZN13CPacketTracerC1Ev	0x8092594	0xad	0x80cea32	0xab
DIFF	_ZN13CPacketTracerC2Ev	0x8092594	0xad	0x80cea32	0xab
DIFF	_ZN13CQueryCounter10WriteDBLogER10CDBManager	0x808e4a8	0x2b6	0x80ed950	0x2b8
DIFF	_ZN13CTcpNetSystem10SendPacketEv	0x805c054	0x2f1	0x80f5c36	0x2ed
DIFF	_ZN13CTcpNetSystem14OpenTcpServiceERiPKct	0x805c550	0x1b1	0x80f5362	0x1b1
