demangled	mangled	status	orig_size	tu
CPacketTranslater::onReloadSecurityRestrictPolicy(PacketHeader*)	_ZN17CPacketTranslater30onReloadSecurityRestrictPolicyEP12PacketHeader	DIFF	0x13a	DNFPacketTranslater.cpp
CPacketTranslater::onRequestCharacTowerUpdateRank(PacketHeader*)	_ZN17CPacketTranslater30onRequestCharacTowerUpdateRankEP12PacketHeader	DIFF	0x178	DNFPacketTranslater.cpp
CPacketTranslater::onSocialEventRewardItemInfoAll(PacketHeader*)	_ZN17CPacketTranslater30onSocialEventRewardItemInfoAllEP12PacketHeader	DIFF	0x371	DNFPacketTranslater.cpp
CPacketTranslater::onSocialEventRewardItemRequest(PacketHeader*)	_ZN17CPacketTranslater30onSocialEventRewardItemRequestEP12PacketHeader	NEAR	0x1df	DNFPacketTranslater.cpp
CPacketTranslater::onRequestCharacInfoByCharacName(PacketHeader*)	_ZN17CPacketTranslater31onRequestCharacInfoByCharacNameEP12PacketHeader	DIFF	0x259	DNFPacketTranslater.cpp
CPacketTranslater::onSocialEventRewardItemResponse(PacketHeader*)	_ZN17CPacketTranslater31onSocialEventRewardItemResponseEP12PacketHeader	DIFF	0x2d2	DNFPacketTranslater.cpp
CPacketTranslater::onItemLimitEditionBuyableRequest(PacketHeader*)	_ZN17CPacketTranslater32onItemLimitEditionBuyableRequestEP12PacketHeader	DIFF	0x2b9	DNFPacketTranslater.cpp
CPacketTranslater::OnNoticeOtherChannelChatMsgHyperLink(PacketHeader*)	_ZN17CPacketTranslater36OnNoticeOtherChannelChatMsgHyperLinkEP12PacketHeader	DIFF	0xa79	DNFPacketTranslater.cpp
CPacketTranslater::OnLogin(PacketHeader*)	_ZN17CPacketTranslater7OnLoginEP12PacketHeader	DIFF	0x61c	DNFPacketTranslater.cpp
CPacketTranslater::OnLogout(PacketHeader*)	_ZN17CPacketTranslater8OnLogoutEP12PacketHeader	DIFF	0x973	DNFPacketTranslater.cpp
